x,y,z
30.0,0.0,-160
29.940801852848146,1.8837155858794012,-160
29.763441039434337,3.7599970069291277,-160
29.46861752186066,5.621439437571738,-160
29.057494833858932,7.460696614945644,-160
28.531695488854606,9.270509831248422,-160
27.893294576647545,11.043736580540337,-160
27.144811573980586,12.77337874695218,-160
26.289200401315906,14.45261022305146,-160
25.329837765060454,16.0748038493699,-160
24.270509831248425,17.633557568774194,-160
23.115397283273676,19.122719692460688,-160
21.869058822642348,20.53641317786066,-160
20.53641317786066,21.869058822642348,-160
19.12271969246069,23.115397283273676,-160
17.633557568774197,24.27050983124842,-160
16.074803849369896,25.329837765060454,-160
14.452610223051455,26.28920040131591,-160
12.77337874695218,27.144811573980586,-160
11.043736580540342,27.89329457664754,-160
9.270509831248424,28.531695488854606,-160
7.460696614945642,29.057494833858932,-160
5.621439437571742,29.468617521860658,-160
3.7599970069291344,29.763441039434333,-160
1.883715585879406,29.940801852848146,-160
1.83697019872103e-15,30.0,-160
-1.8837155858794021,29.940801852848146,-160
-3.759997006929124,29.763441039434337,-160
-5.621439437571738,29.46861752186066,-160
-7.460696614945645,29.057494833858932,-160
-9.270509831248413,28.53169548885461,-160
-11.043736580540333,27.893294576647545,-160
-12.773378746952181,27.144811573980583,-160
-14.452610223051463,26.289200401315902,-160
-16.074803849369907,25.32983776506045,-160
-17.63355756877419,24.270509831248425,-160
-19.12271969246069,23.115397283273676,-160
-20.536413177860663,21.869058822642344,-160
-21.86905882264234,20.536413177860666,-160
-23.115397283273673,19.122719692460695,-160
-24.27050983124842,17.633557568774197,-160
-25.329837765060446,16.07480384936991,-160
-26.289200401315906,14.452610223051456,-160
-27.14481157398058,12.773378746952186,-160
-27.89329457664754,11.043736580540344,-160
-28.531695488854606,9.270509831248425,-160
-29.05749483385893,7.4606966149456575,-160
-29.46861752186066,5.621439437571738,-160
-29.763441039434333,3.759997006929136,-160
-29.940801852848146,1.8837155858794075,-160
-30.0,3.67394039744206e-15,-160
-29.940801852848146,-1.8837155858794004,-160
-29.763441039434337,-3.7599970069291286,-160
-29.468617521860658,-5.621439437571743,-160
-29.057494833858936,-7.460696614945637,-160
-28.53169548885461,-9.270509831248418,-160
-27.893294576647545,-11.043736580540337,-160
-27.14481157398059,-12.773378746952169,-160
-26.289200401315902,-14.452610223051462,-160
-25.329837765060457,-16.074803849369893,-160
-24.270509831248432,-17.63355756877418,-160
-23.115397283273676,-19.122719692460688,-160
-21.86905882264235,-20.536413177860652,-160
-20.53641317786066,-21.869058822642348,-160
-19.122719692460684,-23.11539728327368,-160
-17.633557568774197,-24.27050983124842,-160
-16.07480384936989,-25.32983776506046,-160
-14.452610223051458,-26.289200401315906,-160
-12.773378746952165,-27.144811573980594,-160
-11.043736580540335,-27.893294576647545,-160
-9.270509831248427,-28.531695488854606,-160
-7.460696614945633,-29.057494833858936,-160
-5.6214394375717385,-29.46861752186066,-160
-3.7599970069291375,-29.763441039434333,-160
-1.8837155858793961,-29.940801852848146,-160
-5.510910596163089e-15,-30.0,-160
1.883715585879385,-29.940801852848146,-160
3.759997006929127,-29.763441039434337,-160
5.621439437571728,-29.46861752186066,-160
7.460696614945648,-29.057494833858932,-160
9.270509831248416,-28.53169548885461,-160
11.043736580540322,-27.89329457664755,-160
12.773378746952154,-27.144811573980597,-160
14.45261022305147,-26.289200401315902,-160
16.074803849369903,-25.32983776506045,-160
17.633557568774187,-24.270509831248425,-160
19.122719692460677,-23.115397283273687,-160
20.536413177860638,-21.869058822642362,-160
21.869058822642337,-20.53641317786067,-160
23.11539728327368,-19.122719692460688,-160
24.27050983124842,-17.6335575687742,-160
25.329837765060443,-16.074803849369914,-160
26.289200401315895,-14.452610223051483,-160
27.14481157398058,-12.77337874695219,-160
27.893294576647545,-11.043736580540337,-160
28.531695488854606,-9.270509831248429,-160
29.05749483385893,-7.46069661494566,-160
29.46861752186066,-5.62143943757174,-160
29.763441039434333,-3.7599970069291393,-160
29.940801852848146,-1.883715585879398,-160
30.0,0.0,-170
29.940801852848146,1.8837155858794012,-170
29.763441039434337,3.7599970069291277,-170
29.46861752186066,5.621439437571738,-170
29.057494833858932,7.460696614945644,-170
28.531695488854606,9.270509831248422,-170
27.893294576647545,11.043736580540337,-170
27.144811573980586,12.77337874695218,-170
26.289200401315906,14.45261022305146,-170
25.329837765060454,16.0748038493699,-170
24.270509831248425,17.633557568774194,-170
23.115397283273676,19.122719692460688,-170
21.869058822642348,20.53641317786066,-170
20.53641317786066,21.869058822642348,-170
19.12271969246069,23.115397283273676,-170
17.633557568774197,24.27050983124842,-170
16.074803849369896,25.329837765060454,-170
14.452610223051455,26.28920040131591,-170
12.77337874695218,27.144811573980586,-170
11.043736580540342,27.89329457664754,-170
9.270509831248424,28.531695488854606,-170
7.460696614945642,29.057494833858932,-170
5.621439437571742,29.468617521860658,-170
3.7599970069291344,29.763441039434333,-170
1.883715585879406,29.940801852848146,-170
1.83697019872103e-15,30.0,-170
-1.8837155858794021,29.940801852848146,-170
-3.759997006929124,29.763441039434337,-170
-5.621439437571738,29.46861752186066,-170
-7.460696614945645,29.057494833858932,-170
-9.270509831248413,28.53169548885461,-170
-11.043736580540333,27.893294576647545,-170
-12.773378746952181,27.144811573980583,-170
-14.452610223051463,26.289200401315902,-170
-16.074803849369907,25.32983776506045,-170
-17.63355756877419,24.270509831248425,-170
-19.12271969246069,23.115397283273676,-170
-20.536413177860663,21.869058822642344,-170
